;deputado_id;deputado_nome;deputado_siglaPartido;Cluster;income;freq
1312;160559;Alceu Moreira;MDB;1;531331-317;1.0
1301;141523;Raul Henry;MDB;1;531331-317;1.0
518;178996;Giovani Feltes;MDB;1;2275537-102;1.0
268;160651;Rogério Peninha Mendonça;MDB;0;2275537-117;0.0
1540;171623;Fabio Reis;MDB;0;531331-284;0.0
511;178981;Herculano Passos;MDB;1;2275537-102;1.0
1213;204474;Juarez Costa;MDB;0;2210757-93;1.0
468;160559;Alceu Moreira;MDB;1;2275537-102;1.0
1452;204539;Hercílio Coelho Diniz;MDB;0;531331-317;1.0
274;171623;Fabio Reis;MDB;0;2275537-117;0.0
1534;160651;Rogério Peninha Mendonça;MDB;0;531331-284;1.0
300;178981;Herculano Passos;MDB;1;2275537-117;0.0
1272;73692;Osmar Terra;MDB;1;531331-317;1.0
1663;204539;Hercílio Coelho Diniz;MDB;0;531331-284;0.0
485;171623;Fabio Reis;MDB;0;2275537-102;0.0
369;204474;Juarez Costa;MDB;0;2275537-117;0.0
1061;73692;Osmar Terra;MDB;1;2210757-93;1.0
850;73692;Osmar Terra;MDB;1;2210757-104;1.0
1734;160559;Alceu Moreira;MDB;1;2166595-59;1.0
690;160651;Rogério Peninha Mendonça;MDB;0;2165194-130;1.0
46;160559;Alceu Moreira;MDB;1;2293449-187;1.0
1745;160651;Rogério Peninha Mendonça;MDB;0;2166595-59;1.0
1002;204474;Juarez Costa;MDB;0;2210757-104;1.0
696;171623;Fabio Reis;MDB;0;2165194-130;1.0
1846;204474;Juarez Costa;MDB;0;2166595-59;1.0
57;160651;Rogério Peninha Mendonça;MDB;0;2293449-187;1.0
1144;178981;Herculano Passos;MDB;1;2210757-93;1.0
819;204539;Hercílio Coelho Diniz;MDB;0;2165194-130;1.0
679;160559;Alceu Moreira;MDB;1;2165194-130;1.0
63;171623;Fabio Reis;MDB;0;2293449-187;1.0
722;178981;Herculano Passos;MDB;1;2165194-130;1.0
1030;204539;Hercílio Coelho Diniz;MDB;0;2210757-104;1.0
791;204474;Juarez Costa;MDB;0;2165194-130;1.0
729;178996;Giovani Feltes;MDB;1;2165194-130;1.0
1118;171623;Fabio Reis;MDB;0;2210757-93;1.0
1777;178981;Herculano Passos;MDB;1;2166595-59;1.0
1112;160651;Rogério Peninha Mendonça;MDB;0;2210757-93;1.0
89;178981;Herculano Passos;MDB;1;2293449-187;1.0
96;178996;Giovani Feltes;MDB;1;2293449-187;1.0
1784;178996;Giovani Feltes;MDB;1;2166595-59;1.0
1101;160559;Alceu Moreira;MDB;1;2210757-93;1.0
1751;171623;Fabio Reis;MDB;0;2166595-59;1.0
35;141523;Raul Henry;MDB;1;2293449-187;0.0
1151;178996;Giovani Feltes;MDB;1;2210757-93;1.0
940;178996;Giovani Feltes;MDB;1;2210757-104;1.0
907;171623;Fabio Reis;MDB;0;2210757-104;1.0
6;73692;Osmar Terra;MDB;1;2293449-187;1.0
901;160651;Rogério Peninha Mendonça;MDB;0;2210757-104;1.0
933;178981;Herculano Passos;MDB;1;2210757-104;1.0
890;160559;Alceu Moreira;MDB;1;2210757-104;1.0
158;204474;Juarez Costa;MDB;0;2293449-187;1.0
879;141523;Raul Henry;MDB;1;2210757-104;1.0
668;141523;Raul Henry;MDB;1;2165194-130;1.0
1723;141523;Raul Henry;MDB;1;2166595-59;1.0
1874;204539;Hercílio Coelho Diniz;MDB;0;2166595-59;1.0
1090;141523;Raul Henry;MDB;1;2210757-93;1.0
529;204365;Gilson Marques;NOVO;2;2275537-102;1.0
809;204519;Tiago Mitraud;NOVO;2;2165194-130;0.0
39;156190;Marcel van Hattem;NOVO;2;2293449-187;0.0
808;204516;Alexis Fonteyne;NOVO;2;2165194-130;1.0
1442;204519;Tiago Mitraud;NOVO;2;531331-317;0.0
395;204532;Vinicius Poit;NOVO;2;2275537-117;1.0
393;204528;Adriana Ventura;NOVO;2;2275537-117;1.0
391;204523;Lucas Gonzalez;NOVO;2;2275537-117;1.0
387;204519;Tiago Mitraud;NOVO;2;2275537-117;1.0
785;204461;Paulo Ganime;NOVO;2;2165194-130;0.0
175;204516;Alexis Fonteyne;NOVO;2;2293449-187;0.0
386;204516;Alexis Fonteyne;NOVO;2;2275537-117;1.0
1516;156190;Marcel van Hattem;NOVO;2;531331-284;1.0
1868;204523;Lucas Gonzalez;NOVO;2;2166595-59;0.0
1441;204516;Alexis Fonteyne;NOVO;2;531331-317;0.0
363;204461;Paulo Ganime;NOVO;2;2275537-117;1.0
1795;204365;Gilson Marques;NOVO;2;2166595-59;0.0
1870;204528;Adriana Ventura;NOVO;2;2166595-59;0.0
1028;204532;Vinicius Poit;NOVO;2;2210757-104;1.0
996;204461;Paulo Ganime;NOVO;2;2210757-104;1.0
1026;204528;Adriana Ventura;NOVO;2;2210757-104;1.0
815;204528;Adriana Ventura;NOVO;2;2165194-130;0.0
951;204365;Gilson Marques;NOVO;2;2210757-104;1.0
1872;204532;Vinicius Poit;NOVO;2;2166595-59;0.0
1446;204523;Lucas Gonzalez;NOVO;2;531331-317;0.0
461;156190;Marcel van Hattem;NOVO;2;2275537-102;1.0
1448;204528;Adriana Ventura;NOVO;2;531331-317;0.0
1019;204516;Alexis Fonteyne;NOVO;2;2210757-104;1.0
1450;204532;Vinicius Poit;NOVO;2;531331-317;0.0
1020;204519;Tiago Mitraud;NOVO;2;2210757-104;1.0
1863;204516;Alexis Fonteyne;NOVO;2;2166595-59;0.0
1024;204523;Lucas Gonzalez;NOVO;2;2210757-104;1.0
1864;204519;Tiago Mitraud;NOVO;2;2166595-59;0.0
883;156190;Marcel van Hattem;NOVO;2;2210757-104;1.0
1373;204365;Gilson Marques;NOVO;2;531331-317;0.0
1418;204461;Paulo Ganime;NOVO;2;531331-317;0.0
1584;204365;Gilson Marques;NOVO;2;531331-284;1.0
1840;204461;Paulo Ganime;NOVO;2;2166595-59;0.0
817;204532;Vinicius Poit;NOVO;2;2165194-130;1.0
813;204523;Lucas Gonzalez;NOVO;2;2165194-130;1.0
318;204365;Gilson Marques;NOVO;2;2275537-117;1.0
176;204519;Tiago Mitraud;NOVO;2;2293449-187;0.0
184;204532;Vinicius Poit;NOVO;2;2293449-187;0.0
597;204516;Alexis Fonteyne;NOVO;2;2275537-102;1.0
598;204519;Tiago Mitraud;NOVO;2;2275537-102;1.0
602;204523;Lucas Gonzalez;NOVO;2;2275537-102;1.0
1661;204532;Vinicius Poit;NOVO;2;531331-284;1.0
604;204528;Adriana Ventura;NOVO;2;2275537-102;1.0
1659;204528;Adriana Ventura;NOVO;2;531331-284;1.0
606;204532;Vinicius Poit;NOVO;2;2275537-102;1.0
1629;204461;Paulo Ganime;NOVO;2;531331-284;1.0
574;204461;Paulo Ganime;NOVO;2;2275537-102;1.0
182;204528;Adriana Ventura;NOVO;2;2293449-187;0.0
1657;204523;Lucas Gonzalez;NOVO;2;531331-284;1.0
1653;204519;Tiago Mitraud;NOVO;2;531331-284;1.0
1652;204516;Alexis Fonteyne;NOVO;2;531331-284;1.0
1305;156190;Marcel van Hattem;NOVO;2;531331-317;0.0
1239;204532;Vinicius Poit;NOVO;2;2210757-93;1.0
180;204523;Lucas Gonzalez;NOVO;2;2293449-187;0.0
152;204461;Paulo Ganime;NOVO;2;2293449-187;0.0
1231;204519;Tiago Mitraud;NOVO;2;2210757-93;1.0
1235;204523;Lucas Gonzalez;NOVO;2;2210757-93;1.0
1237;204528;Adriana Ventura;NOVO;2;2210757-93;1.0
1162;204365;Gilson Marques;NOVO;2;2210757-93;1.0
107;204365;Gilson Marques;NOVO;2;2293449-187;0.0
1230;204516;Alexis Fonteyne;NOVO;2;2210757-93;1.0
250;156190;Marcel van Hattem;NOVO;2;2275537-117;1.0
1094;156190;Marcel van Hattem;NOVO;2;2210757-93;1.0
1207;204461;Paulo Ganime;NOVO;2;2210757-93;1.0
740;204365;Gilson Marques;NOVO;2;2165194-130;1.0
672;156190;Marcel van Hattem;NOVO;2;2165194-130;1.0
1727;156190;Marcel van Hattem;NOVO;2;2166595-59;0.0
642;73943;Perpétua Almeida;PCdoB;0;2165194-130;1.0
1697;73943;Perpétua Almeida;PCdoB;0;2166595-59;1.0
1569;178987;Orlando Silva;PCdoB;0;531331-284;1.0
1709;74848;Jandira Feghali;PCdoB;0;2166595-59;1.0
434;74060;Daniel Almeida;PCdoB;0;2275537-102;0.0
443;74848;Jandira Feghali;PCdoB;0;2275537-102;0.0
936;178987;Orlando Silva;PCdoB;0;2210757-104;1.0
853;73943;Perpétua Almeida;PCdoB;0;2210757-104;1.0
431;73943;Perpétua Almeida;PCdoB;0;2275537-102;0.0
12;74060;Daniel Almeida;PCdoB;0;2293449-187;0.0
855;74057;Alice Portugal;PCdoB;0;2210757-104;1.0
856;74060;Daniel Almeida;PCdoB;0;2210757-104;1.0
865;74848;Jandira Feghali;PCdoB;0;2210757-104;1.0
433;74057;Alice Portugal;PCdoB;0;2275537-102;0.0
1699;74057;Alice Portugal;PCdoB;0;2166595-59;1.0
222;74057;Alice Portugal;PCdoB;0;2275537-117;0.0
1358;178987;Orlando Silva;PCdoB;0;531331-317;1.0
92;178987;Orlando Silva;PCdoB;0;2293449-187;0.0
1067;74060;Daniel Almeida;PCdoB;0;2210757-93;1.0
1066;74057;Alice Portugal;PCdoB;0;2210757-93;1.0
514;178987;Orlando Silva;PCdoB;0;2275537-102;0.0
1064;73943;Perpétua Almeida;PCdoB;0;2210757-93;1.0
1488;74057;Alice Portugal;PCdoB;0;531331-284;0.0
654;74848;Jandira Feghali;PCdoB;0;2165194-130;1.0
725;178987;Orlando Silva;PCdoB;0;2165194-130;1.0
1486;73943;Perpétua Almeida;PCdoB;0;531331-284;0.0
303;178987;Orlando Silva;PCdoB;0;2275537-117;0.0
1700;74060;Daniel Almeida;PCdoB;0;2166595-59;1.0
645;74060;Daniel Almeida;PCdoB;0;2165194-130;1.0
9;73943;Perpétua Almeida;PCdoB;0;2293449-187;0.0
1780;178987;Orlando Silva;PCdoB;0;2166595-59;1.0
1287;74848;Jandira Feghali;PCdoB;0;531331-317;1.0
1489;74060;Daniel Almeida;PCdoB;0;531331-284;0.0
232;74848;Jandira Feghali;PCdoB;0;2275537-117;0.0
1498;74848;Jandira Feghali;PCdoB;0;531331-284;0.0
1278;74060;Daniel Almeida;PCdoB;0;531331-317;1.0
1277;74057;Alice Portugal;PCdoB;0;531331-317;1.0
11;74057;Alice Portugal;PCdoB;0;2293449-187;0.0
644;74057;Alice Portugal;PCdoB;0;2165194-130;1.0
1147;178987;Orlando Silva;PCdoB;0;2210757-93;1.0
1275;73943;Perpétua Almeida;PCdoB;0;531331-317;1.0
223;74060;Daniel Almeida;PCdoB;0;2275537-117;0.0
21;74848;Jandira Feghali;PCdoB;0;2293449-187;0.0
220;73943;Perpétua Almeida;PCdoB;0;2275537-117;0.0
1076;74848;Jandira Feghali;PCdoB;0;2210757-93;1.0
665;141439;Chico D`Angelo;PDT;2;2165194-130;1.0
1482;73486;Pompeo de Mattos;PDT;2;531331-284;0.0
399;204541;Eduardo Bismarck;PDT;1;2275537-117;1.0
664;141411;Dagoberto Nogueira;PDT;2;2165194-130;1.0
396;204533;Idilvan Alencar;PDT;2;2275537-117;1.0
662;133968;Paulo Ramos;PDT;2;2165194-130;1.0
1454;204541;Eduardo Bismarck;PDT;1;531331-317;0.0
638;73486;Pompeo de Mattos;PDT;2;2165194-130;1.0
1087;141439;Chico D`Angelo;PDT;2;2210757-93;1.0
876;141439;Chico D`Angelo;PDT;2;2210757-104;1.0
1086;141411;Dagoberto Nogueira;PDT;2;2210757-93;1.0
1084;133968;Paulo Ramos;PDT;2;2210757-93;1.0
527;204360;Silvia Cristina;PDT;1;2275537-102;1.0
1060;73486;Pompeo de Mattos;PDT;2;2210757-93;1.0
738;204360;Silvia Cristina;PDT;1;2165194-130;1.0
1032;204541;Eduardo Bismarck;PDT;1;2210757-104;1.0
1029;204533;Idilvan Alencar;PDT;2;2210757-104;1.0
1298;141439;Chico D`Angelo;PDT;2;531331-317;0.0
1297;141411;Dagoberto Nogueira;PDT;2;531331-317;0.0
1295;133968;Paulo Ramos;PDT;2;531331-317;0.0
1371;204360;Silvia Cristina;PDT;1;531331-317;1.0
818;204533;Idilvan Alencar;PDT;2;2165194-130;1.0
821;204541;Eduardo Bismarck;PDT;1;2165194-130;1.0
1271;73486;Pompeo de Mattos;PDT;2;531331-317;0.0
1160;204360;Silvia Cristina;PDT;1;2210757-93;1.0
849;73486;Pompeo de Mattos;PDT;2;2210757-104;1.0
454;141439;Chico D`Angelo;PDT;2;2275537-102;0.0
451;133968;Paulo Ramos;PDT;2;2275537-102;0.0
607;204533;Idilvan Alencar;PDT;2;2275537-102;0.0
610;204541;Eduardo Bismarck;PDT;1;2275537-102;0.0
1243;204541;Eduardo Bismarck;PDT;1;2210757-93;1.0
1240;204533;Idilvan Alencar;PDT;2;2210757-93;1.0
427;73486;Pompeo de Mattos;PDT;2;2275537-102;1.0
873;133968;Paulo Ramos;PDT;2;2210757-104;1.0
875;141411;Dagoberto Nogueira;PDT;2;2210757-104;1.0
1451;204533;Idilvan Alencar;PDT;2;531331-317;0.0
453;141411;Dagoberto Nogueira;PDT;2;2275537-102;1.0
949;204360;Silvia Cristina;PDT;1;2210757-104;1.0
1662;204533;Idilvan Alencar;PDT;2;531331-284;0.0
1793;204360;Silvia Cristina;PDT;1;2166595-59;1.0
105;204360;Silvia Cristina;PDT;1;2293449-187;1.0
316;204360;Silvia Cristina;PDT;1;2275537-117;1.0
1582;204360;Silvia Cristina;PDT;1;531331-284;0.0
31;141411;Dagoberto Nogueira;PDT;2;2293449-187;0.0
29;133968;Paulo Ramos;PDT;2;2293449-187;0.0
1873;204533;Idilvan Alencar;PDT;2;2166595-59;1.0
1720;141439;Chico D`Angelo;PDT;2;2166595-59;0.0
1876;204541;Eduardo Bismarck;PDT;1;2166595-59;1.0
1719;141411;Dagoberto Nogueira;PDT;2;2166595-59;1.0
1717;133968;Paulo Ramos;PDT;2;2166595-59;1.0
185;204533;Idilvan Alencar;PDT;2;2293449-187;0.0
243;141439;Chico D`Angelo;PDT;2;2275537-117;0.0
188;204541;Eduardo Bismarck;PDT;1;2293449-187;1.0
242;141411;Dagoberto Nogueira;PDT;2;2275537-117;1.0
32;141439;Chico D`Angelo;PDT;2;2293449-187;0.0
1665;204541;Eduardo Bismarck;PDT;1;531331-284;0.0
1509;141439;Chico D`Angelo;PDT;2;531331-284;0.0
5;73486;Pompeo de Mattos;PDT;2;2293449-187;0.0
216;73486;Pompeo de Mattos;PDT;2;2275537-117;1.0
1506;133968;Paulo Ramos;PDT;2;531331-284;0.0
240;133968;Paulo Ramos;PDT;2;2275537-117;1.0
1693;73486;Pompeo de Mattos;PDT;2;2166595-59;1.0
1508;141411;Dagoberto Nogueira;PDT;2;531331-284;0.0
290;178928;Christiane de Souza Yared;PL;1;2275537-117;1.0
288;178924;Capitão Fábio Abreu;PL;0;2275537-117;0.0
1765;178924;Capitão Fábio Abreu;PL;0;2166595-59;1.0
724;178985;Miguel Lombardi;PL;0;2165194-130;1.0
241;135054;Cristiano Vale;PL;0;2275537-117;0.0
1132;178924;Capitão Fábio Abreu;PL;0;2210757-93;1.0
1134;178928;Christiane de Souza Yared;PL;1;2210757-93;1.0
712;178928;Christiane de Souza Yared;PL;1;2165194-130;1.0
499;178924;Capitão Fábio Abreu;PL;0;2275537-102;0.0
501;178928;Christiane de Souza Yared;PL;1;2275537-102;1.0
710;178924;Capitão Fábio Abreu;PL;0;2165194-130;1.0
723;178983;Marcio Alvino;PL;0;2165194-130;1.0
1767;178928;Christiane de Souza Yared;PL;1;2166595-59;1.0
1292;115746;Gelson Azevedo;PL;0;531331-317;1.0
480;160673;Giovani Cherini;PL;0;2275537-102;0.0
1115;162332;Luiz Nishimori;PL;0;2210757-93;1.0
1357;178985;Miguel Lombardi;PL;0;531331-317;1.0
221;74052;Bosco Costa;PL;0;2275537-117;0.0
1113;160673;Giovani Cherini;PL;0;2210757-93;1.0
1778;178983;Marcio Alvino;PL;0;2166595-59;1.0
1779;178985;Miguel Lombardi;PL;0;2166595-59;1.0
472;160591;Vinicius Gurgel;PL;1;2275537-102;1.0
1105;160591;Vinicius Gurgel;PL;1;2210757-93;1.0
301;178983;Marcio Alvino;PL;0;2275537-117;0.0
1276;74052;Bosco Costa;PL;0;531331-317;1.0
302;178985;Miguel Lombardi;PL;0;2275537-117;0.0
1085;135054;Cristiano Vale;PL;0;2210757-93;1.0
482;162332;Luiz Nishimori;PL;0;2275537-102;0.0
1356;178983;Marcio Alvino;PL;0;531331-317;1.0
1145;178983;Marcio Alvino;PL;0;2210757-93;1.0
142;204438;Sergio Toledo;PL;0;2293449-187;1.0
1503;115746;Gelson Azevedo;PL;0;531331-284;0.0
1316;160591;Vinicius Gurgel;PL;1;531331-317;1.0
1324;160673;Giovani Cherini;PL;0;531331-317;1.0
1197;204438;Sergio Toledo;PL;0;2210757-93;1.0
659;115746;Gelson Azevedo;PL;0;2165194-130;1.0
1714;115746;Gelson Azevedo;PL;0;2166595-59;1.0
663;135054;Cristiano Vale;PL;0;2165194-130;1.0
1326;162332;Luiz Nishimori;PL;0;531331-317;1.0
1718;135054;Cristiano Vale;PL;0;2166595-59;1.0
237;115746;Gelson Azevedo;PL;0;2275537-117;0.0
1296;135054;Cristiano Vale;PL;0;531331-317;1.0
261;160591;Vinicius Gurgel;PL;1;2275537-117;0.0
564;204438;Sergio Toledo;PL;0;2275537-102;0.0
